ID,trial_index,condition_label,trial_type_label,visual_stimulus,tactile_stimulus,combo,felt_position,z_RT,error,visual_error,tactile_error
3,52,cube,SP,1,1,1-1,1,-0.478,0,,
3,53,cube,OT,1,0,1-0,0,,0,,
3,54,cube,SP,2,2,2-2,2,-0.308,0,,
3,55,cube,OV,0,2,0-2,2,-0.408,0,,
3,56,cube,DP,3,1,3-1,1,-0.033,0,0,0
3,57,cube,OT,3,0,3-0,0,,0,,
3,58,cube,DP,3,2,3-2,2,2.984,0,0,0
3,59,cube,SP,4,4,4-4,4,-0.825,0,,
3,60,cube,SP,4,4,4-4,4,-0.699,0,,
3,61,cube,OV,0,1,0-1,1,0.267,0,,
3,62,cube,SP,3,3,3-3,3,0.159,0,,
3,63,cube,OT,1,0,1-0,0,,0,,
3,64,cube,OT,3,0,3-0,0,,0,,
3,1,hand,SP,4,4,4-4,4,-1.089,0,,
3,2,hand,DP,4,1,4-1,1,-1.069,0,0,0
3,3,hand,OT,4,0,4-0,0,,0,,
3,4,hand,OV,0,4,0-4,4,-0.703,0,,
3,5,hand,DP,3,1,3-1,1,-0.851,0,0,0
3,6,hand,DP,1,3,1-3,1,0.406,1,1,0
3,7,hand,OT,2,0,2-0,0,,0,,
3,8,hand,OT,3,0,3-0,0,,0,,
3,9,hand,SP,3,3,3-3,4,-0.072,1,,
3,10,hand,SP,2,2,2-2,2,0.543,0,,
3,11,hand,SP,1,1,1-1,4,4.903,1,,
3,12,hand,OT,4,0,4-0,0,,0,,
3,13,hand,OV,0,2,0-2,2,0.676,0,,
3,14,hand,SP,4,4,4-4,4,-0.227,0,,
3,15,hand,SP,1,1,1-1,1,-0.211,0,,
3,16,hand,DP,3,4,3-4,4,-0.085,0,0,0
3,17,hand,DP,2,1,2-1,3,1.101,1,0,1
3,18,hand,SP,2,2,2-2,2,-0.436,0,,
3,19,hand,SP,4,4,4-4,4,-0.307,0,,
3,20,hand,OV,0,3,0-3,1,0.534,1,,
3,21,hand,OT,3,0,3-0,0,,0,,
3,22,hand,OT,3,0,3-0,0,,0,,
3,23,hand,OT,4,0,4-0,0,,0,,
3,24,hand,DP,3,2,3-2,2,1.799,0,0,0
3,25,hand,DP,4,3,4-3,3,-0.152,0,0,0
3,26,hand,DP,2,1,2-1,1,1.538,0,0,0
3,27,hand,OT,2,0,2-0,0,,0,,
3,28,hand,OT,2,0,2-0,0,,0,,
3,29,hand,SP,2,2,2-2,2,-0.096,0,,
3,30,hand,OV,0,3,0-3,3,0.196,0,,
3,31,hand,OT,1,0,1-0,0,,0,,
3,32,hand,OV,0,4,0-4,4,-0.651,0,,
3,33,hand,OT,1,0,1-0,0,,0,,
3,34,hand,DP,1,2,1-2,2,-0.367,0,0,0
3,35,hand,OV,0,2,0-2,2,0.199,0,,
3,36,hand,DP,2,3,2-3,3,-0.161,0,0,0
3,37,hand,SP,2,2,2-2,2,-0.307,0,,
3,38,hand,OV,0,1,0-1,1,0.015,0,,
3,39,hand,SP,3,3,3-3,3,-0.251,0,,
3,40,hand,OV,0,4,0-4,4,-0.371,0,,
3,41,hand,SP,1,1,1-1,1,-0.375,0,,
3,42,hand,OT,2,0,2-0,0,,0,,
3,43,hand,OT,4,0,4-0,0,,0,,
3,44,hand,OT,3,0,3-0,0,,0,,
3,45,hand,OV,0,4,0-4,4,0.138,0,,
3,46,hand,OV,0,2,0-2,2,-0.221,0,,
3,47,hand,SP,1,1,1-1,1,-0.635,0,,
3,48,hand,OV,0,1,0-1,1,-0.423,0,,
3,49,hand,OV,0,1,0-1,1,-0.36,0,,
3,50,hand,SP,3,3,3-3,3,-0.848,0,,
3,51,hand,DP,4,2,4-2,2,-1.22,0,0,0
3,52,hand,OV,0,3,0-3,3,-0.52,0,,
3,53,hand,OT,1,0,1-0,0,,0,,
3,54,hand,DP,1,4,1-4,4,-1.057,0,0,0
3,55,hand,DP,1,4,1-4,4,-0.009,0,0,0
3,56,hand,DP,2,4,2-4,4,0.203,0,0,0
3,57,hand,DP,1,2,1-2,2,0.253,0,0,0
3,58,hand,OV,0,2,0-2,2,-0.162,0,,
3,59,hand,DP,1,3,1-3,3,-0.383,0,0,0
3,60,hand,OV,0,3,0-3,3,0.486,0,,
3,61,hand,SP,4,4,4-4,4,-0.584,0,,
3,62,hand,OV,0,1,0-1,1,2.005,0,,
3,63,hand,SP,3,3,3-3,3,-0.793,0,,
3,64,hand,OT,1,0,1-0,0,,0,,
4,1,cube,DP,4,3,4-3,3,0.203,0,0,0
4,2,cube,OT,4,0,4-0,0,,0,,
4,3,cube,OT,3,0,3-0,0,,0,,
4,4,cube,DP,1,2,1-2,4,-0.315,1,0,1
4,5,cube,SP,1,1,1-1,1,2.092,0,,
4,6,cube,OT,3,0,3-0,0,,0,,
4,7,cube,SP,4,4,4-4,4,3.283,0,,
4,8,cube,SP,3,3,3-3,2,-0.28,1,,
4,9,cube,OT,2,0,2-0,0,,0,,
4,10,cube,OT,4,0,4-0,0,,0,,
4,11,cube,OV,0,4,0-4,4,-0.213,0,,
4,12,cube,OV,0,4,0-4,2,1.127,1,,
4,13,cube,DP,1,4,1-4,1,-0.236,1,1,0
4,14,cube,OV,0,1,0-1,1,1.01,0,,
4,15,cube,SP,3,3,3-3,3,-1.217,0,,
4,16,cube,OT,3,0,3-0,0,,0,,
4,17,cube,SP,1,1,1-1,1,-0.307,0,,
4,18,cube,DP,3,1,3-1,2,0.239,1,0,1
4,19,cube,OV,0,2,0-2,2,-0.013,0,,
4,20,cube,SP,2,2,2-2,2,-0.312,0,,
4,21,cube,DP,1,3,1-3,1,-0.047,1,1,0
4,22,cube,OT,1,0,1-0,0,,0,,
4,23,cube,OT,3,0,3-0,0,,0,,
4,24,cube,DP,1,4,1-4,4,1.278,0,0,0
4,25,cube,OT,4,0,4-0,0,,0,,
4,26,cube,SP,2,2,2-2,2,-0.741,0,,
4,27,cube,DP,4,1,4-1,2,-0.577,1,0,1
4,28,cube,DP,3,2,3-2,3,0.837,1,1,0
4,29,cube,DP,2,1,2-1,1,-0.378,0,0,0
4,30,cube,OV,0,1,0-1,1,0.662,0,,
4,31,cube,DP,4,2,4-2,2,0.579,0,0,0
4,32,cube,OV,0,1,0-1,1,0.492,0,,
4,33,cube,DP,1,2,1-2,2,0.036,0,0,0
4,34,cube,DP,2,4,2-4,4,-0.67,0,0,0
4,35,cube,OT,4,0,4-0,0,,0,,
4,36,cube,OV,0,3,0-3,3,,0,,
4,37,cube,SP,3,3,3-3,4,,1,,
4,38,cube,OV,0,3,0-3,2,-0.673,1,,
4,39,cube,SP,2,2,2-2,2,-0.481,0,,
4,40,cube,OT,1,0,1-0,0,,0,,
4,41,cube,SP,2,2,2-2,2,-1.118,0,,
4,42,cube,OT,2,0,2-0,0,,0,,
4,43,cube,OV,0,3,0-3,2,0.154,1,,
4,44,cube,OT,1,0,1-0,0,,0,,
4,45,cube,DP,2,3,2-3,3,3.256,0,0,0
4,46,cube,SP,4,4,4-4,3,-0.578,1,,
4,47,cube,OT,1,0,1-0,0,,0,,
4,48,cube,OV,0,2,0-2,2,0.484,0,,
4,49,cube,OT,2,0,2-0,0,,0,,
4,50,cube,SP,1,1,1-1,1,-0.665,0,,
4,51,cube,SP,3,3,3-3,3,-0.768,0,,
4,52,cube,OV,0,4,0-4,4,-0.22,0,,
4,53,cube,SP,4,4,4-4,4,-1.449,0,,
4,54,cube,OV,0,2,0-2,2,-0.373,0,,
4,55,cube,SP,4,4,4-4,4,-0.919,0,,
4,56,cube,DP,2,1,2-1,0,,1,0,1
4,57,cube,OV,0,3,0-3,2,-0.942,1,,
4,58,cube,SP,1,1,1-1,1,-0.112,0,,
4,59,cube,DP,1,3,1-3,2,-0.482,1,0,1
4,60,cube,DP,3,4,3-4,4,-1.005,0,0,0
4,61,cube,OV,0,4,0-4,4,-0.032,0,,
4,62,cube,OV,0,1,0-1,1,-0.485,0,,
4,63,cube,OV,0,2,0-2,2,-0.123,0,,
4,64,cube,OT,2,0,2-0,0,,0,,
4,1,hand,DP,3,2,3-2,3,-0.916,1,1,0
4,2,hand,OT,3,0,3-0,0,,0,,
4,3,hand,SP,3,3,3-3,3,0.323,0,,
4,4,hand,DP,1,4,1-4,2,-0.499,1,0,1
4,5,hand,OV,0,2,0-2,2,-0.184,0,,
4,6,hand,DP,3,1,3-1,3,-0.468,1,1,0
4,7,hand,OT,1,0,1-0,0,,0,,
4,8,hand,SP,1,1,1-1,1,0.71,0,,
4,9,hand,DP,4,3,4-3,4,0.566,1,1,0
4,10,hand,SP,4,4,4-4,4,-1.003,0,,
4,11,hand,DP,4,2,4-2,2,-0.963,0,0,0
4,12,hand,SP,1,1,1-1,1,-0.069,0,,
4,13,hand,DP,2,4,2-4,2,-0.197,1,1,0
4,14,hand,SP,2,2,2-2,2,-0.618,0,,
4,15,hand,OV,0,1,0-1,3,0.599,1,,
4,16,hand,DP,1,3,1-3,1,-0.874,1,1,0
4,17,hand,OT,1,0,1-0,0,,0,,
4,18,hand,OT,3,0,3-0,0,,0,,
4,19,hand,OV,0,3,0-3,2,1.364,1,,
4,20,hand,OV,0,3,0-3,4,0.699,1,,
4,21,hand,SP,4,4,4-4,4,-1.529,0,,
4,22,hand,DP,1,3,1-3,1,-0.226,1,1,0
4,23,hand,OT,4,0,4-0,0,,0,,
4,24,hand,SP,1,1,1-1,1,-0.575,0,,
4,25,hand,SP,2,2,2-2,2,-0.866,0,,
4,26,hand,OT,2,0,2-0,0,,0,,
4,27,hand,SP,3,3,3-3,3,-0.326,0,,
4,28,hand,OV,0,4,0-4,1,0.056,1,,
4,29,hand,OV,0,3,0-3,4,-0.222,1,,
