participant,condition,stimulation_type,ruler_position,distance,answer
6,cube,OT,0.15,0.2,35.0
6,cube,SP,0.12,0.23,38.0
6,cube,SP,0.33,0.01999998,17.0
6,cube,SP,0.24,0.11,28.0
6,cube,SP,0.27,0.07999998,24.0
6,cube,SP,0.18,0.17,33.0
6,cube,SP,0.27,0.07999998,24.0
6,cube,SP,0.24,0.11,27.0
6,cube,SP,0.21,0.14,30.0
6,cube,SP,0.15,0.2,36.0
6,cube,SP,0.12,0.23,39.0
6,cube,DP,0.24,0.11,28.0
6,cube,DP,0.33,0.01999998,20.0
6,cube,DP,0.18,0.17,32.0
6,cube,DP,0.15,0.2,36.0
6,cube,DP,0.27,0.07999998,24.0
6,cube,DP,0.18,0.17,33.0
6,cube,DP,0.33,0.01999998,17.0
6,cube,DP,0.27,0.07999998,24.0
6,cube,DP,0.12,0.23,38.0
6,cube,DP,0.3,0.04999998,21.0
6,hand,OV,0.33,0.01999998,16.0
6,hand,OV,0.3,0.04999998,21.0
6,hand,OV,0.18,0.17,32.0
6,hand,OV,0.21,0.14,29.0
6,hand,OV,0.12,0.23,38.0
6,hand,OV,0.21,0.14,28.0
6,hand,OV,0.12,0.23,37.0
6,hand,OV,0.18,0.17,31.0
6,hand,OV,0.33,0.01999998,18.0
6,hand,OV,0.24,0.11,28.0
6,hand,OT,0.27,0.07999998,22.0
6,hand,OT,0.15,0.2,35.0
6,hand,OT,0.12,0.23,38.0
6,hand,OT,0.33,0.01999998,18.0
6,hand,OT,0.3,0.04999998,22.0
6,hand,OT,0.3,0.04999998,20.0
6,hand,OT,0.12,0.23,39.0
6,hand,OT,0.21,0.14,31.0
6,hand,OT,0.15,0.2,38.0
6,hand,OT,0.24,0.11,28.0
6,hand,SP,0.18,0.17,32.0
6,hand,SP,0.15,0.2,36.0
6,hand,SP,0.24,0.11,26.0
6,hand,SP,0.33,0.01999998,18.0
6,hand,SP,0.12,0.23,39.0
6,hand,SP,0.33,0.01999998,16.0
6,hand,SP,0.24,0.11,24.0
6,hand,SP,0.27,0.07999998,21.0
6,hand,SP,0.18,0.17,32.0
6,hand,SP,0.15,0.2,34.0
6,hand,DP,0.24,0.11,25.0
6,hand,DP,0.3,0.04999998,21.0
6,hand,DP,0.18,0.17,32.0
6,hand,DP,0.33,0.01999998,18.0
6,hand,DP,0.15,0.2,35.0
6,hand,DP,0.24,0.11,27.0
6,hand,DP,0.27,0.07999998,26.0
6,hand,DP,0.15,0.2,37.0
6,hand,DP,0.3,0.04999998,25.0
6,hand,DP,0.12,0.23,41.0
7,cube,OV,0.3,0.04999998,20.0
7,cube,OV,0.33,0.01999998,19.0
7,cube,OV,0.12,0.23,36.0
7,cube,OV,0.27,0.07999998,22.0
7,cube,OV,0.24,0.11,25.0
7,cube,OV,0.21,0.14,31.0
7,cube,OV,0.18,0.17,32.0
7,cube,OV,0.12,0.23,36.0
